"tahun","kode_hs_deskripsi","total_berat_ekpor"
2014.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.8258469919261875
2014.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.051375749055800474
2014.0,[25] Garam; belerang; tanah dan batu; bahan plester; kapur dan semen,0.022533734814296415
2014.0,[44] Kayu dan barang dari kayu; arang kayu,0.011084544460392741
2014.0,[23] Residu dan sisa dari industri makanan; olahan makanan hewan,0.009339118219978996
2014.0,"[26] Bijih logam, terak, dan abu",0.009174407189564089
2014.0,"[48] Kertas dan kertas karton; barang dari pulp kertas, kertas atau kertas karton",0.007211191954267254
2014.0,[47] Pulp dari kayu atau dari bahan sellulosa berserat lainnya; kertas atau kertas karton yang dipulihkan (sisa dan skrap),0.006856651057481606
2014.0,[38] Aneka produk kimia,0.005946927921216989
2014.0,[40] Karet dan barang daripadanya,0.005606938337283568
