"tahun","kode_hs_deskripsi","total_nilai_ekpor"
2018.0,"[27] Bahan bakar mineral, minyak mineral dan produk sulingannya; zat mengandung bitumen; malam mineral",0.2560836930191153
2018.0,[15] Lemak dan minyak hewani atau nabati serta produk disosiasinya; lemak olahan yang dapat dimakan; malam hewani atau malam nabati,0.11079676320318685
2018.0,"[85] Mesin dan perlengkapan elektris serta bagiannya; perekam dan pereproduksi suara/gambar dan suara televisi, dan bagian serta aksesori dari barang tersebut",0.05174297625082803
2018.0,"[87] Kendaraan selain yang bergerak diatas rel kereta api, dan bagian serta aksesorinya",0.04246550643200985
2018.0,"[84] Reaktor nuklilr, ketel, mesin dan peralaan mekanis; bagian daripadanya",0.0396932263246351
2018.0,[72] Besi dan baja,0.03307893298576648
2018.0,[40] Karet dan barang daripadanya,0.030973405704515365
2018.0,"[64] Alas kaki, pelindung kaki; bagian dari barang tersebut",0.029913441446031832
2018.0,"[62] Pakaian dan aksesori pakaian, bukan rajutan atau kaitan",0.027818802757196302
2018.0,"[71] Mutiara alam, mutiara budidaya, batu mulia atau semi mulia, logam mulia, logam mulia kerajang, perhiasan imitasi, koin",0.02756077616781611
